BALACHKY PACKAGED BINARY TRACE MANIFEST
Paths are relative to the Balachky onedir root.
Binary count: 269
Version source: PE FileVersion; when absent, owning-package METADATA or companion-runtime PE provenance.
Hash command: Get-FileHash -Algorithm SHA256 -LiteralPath <file>

BINARY TRACE BEGIN
file	version	upstream	license	sha256
_internal/api-ms-win-core-fibers-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	91d249d7bc0e38ef6bcb17158b1fdc6dd8888dc086615c9b8b750b87e52a5fb3
_internal/api-ms-win-core-fibers-l1-1-1.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	fc9d86cec621383eab636ebc87ddd3f5c19a3cb2a33d97be112c051d0b275429
_internal/api-ms-win-core-file-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	1ca895aba4e7435563a6b43e85eba67a0f8c74aa6a6a94d0fc48fa35535e2585
_internal/api-ms-win-core-file-l1-2-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	4cadbc0c39da7c6722206fdcebd670abe5b8d261e7b041dd94f9397a89d1990d
_internal/api-ms-win-core-file-l2-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	93c624b366ba16c643fc8933070a26f03b073ad0cf7f80173266d67536c61989
_internal/api-ms-win-core-handle-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	39095f59c41d76ec81bb2723d646fde4c148e7cc3402f4980d2ade95cb9c84f9
_internal/api-ms-win-core-heap-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	8f105771b236dbcb859de271f0a6822ce1cb79c36988dd42c9e3f6f55c5f7eb9
_internal/api-ms-win-core-interlocked-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	53b25e753ca785bf8b695d89dde5818a318890211dc992a89146f16658f0b606
_internal/api-ms-win-core-kernel32-legacy-l1-1-1.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	a9b13a1cd1b8c19b0c6b4afcd5bb0dd29c0e2288231ac9e6db8510094ce68ba6
_internal/api-ms-win-core-libraryloader-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	7f39ba298b41e4963047341288cab36b6a241835ee11ba4ad70f44dacd40906c
_internal/api-ms-win-core-localization-l1-2-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	6ee44dd0d8510dc024c9f7c79b1b9fa88c987b26b6beb6653ddd11751c34e5dc
_internal/api-ms-win-core-memory-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	0512a35316ec9180437f86696a84c5c06a7e4e82e050055a656e5bf9fca206f9
